Image,Percentage_of_White_Fat_Content
00000001-1.tif,0.0
00000002-1.tif,0.0
00000003-1.tif,0.0
00000004-1.tif,0.0
00000005-1.tif,0.0
00000006-1.tif,0.0
00000007-1.tif,0.0
00000008-1.tif,0.0
00000009-1.tif,0.0
00000010-1.tif,0.0
00000011-1.tif,0.0
00000012-1.tif,0.0
00000013-1.tif,0.0
00000014-1.tif,0.0
00000015-1.tif,0.0
00000016-1.tif,0.0
00000017-1.tif,0.0
00000018-1.tif,0.0
00000019-1.tif,0.0
00000020-1.tif,0.0
00000021-1.tif,0.0
00000022-1.tif,0.0
00000023-1.tif,0.0
00000024-1.tif,0.0
00000025-1.tif,0.0
00000026-1.tif,0.0
00000027-1.tif,0.0
00000028-1.tif,0.0
00000029-1.tif,0.0
00000030-1.tif,0.0
00000031-1.tif,0.0
00000032-1.tif,0.0
00000033-1.tif,0.0
00000034-1.tif,0.0
00000035-1.tif,0.0
00000036-1.tif,0.0
00000037-1.tif,0.0
00000038-1.tif,0.0
00000039-1.tif,0.0
00000040-1.tif,0.0
00000041-1.tif,0.0
00000042-1.tif,0.0
00000043-1.tif,0.0
00000044-1.tif,0.0
00000045-1.tif,0.0
00000046-1.tif,0.0
00000047-1.tif,0.0
00000048-1.tif,0.0
00000049-1.tif,0.0
00000050-1.tif,0.0
00000051-2.tif,0.0
00000052-2.tif,0.0
00000053-2.tif,0.0
00000054-2.tif,0.0
00000055-2.tif,0.0
00000056-2.tif,0.0
00000057-2.tif,0.0
00000058-2.tif,0.0
00000059-2.tif,0.0
00000060-2.tif,0.0
00000061-2.tif,0.0
00000062-2.tif,0.0
00000063-2.tif,0.0
00000064-2.tif,0.0
00000065-2.tif,0.0
00000066-2.tif,0.0
00000067-2.tif,0.0
00000068-2.tif,0.0
00000069-2.tif,0.0
00000070-2.tif,0.0
00000071-2.tif,0.0
00000072-2.tif,0.0
00000073-2.tif,0.0
00000074-2.tif,0.0
00000075-2.tif,0.0
00000076-2.tif,0.0
00000077-2.tif,0.0
00000078-2.tif,0.0
00000079-2.tif,0.0
00000080-2.tif,0.0020487325174825175
00000081-2.tif,0.0
00000082-2.tif,0.0
00000083-2.tif,0.0
00000084-2.tif,0.0
00000085-2.tif,0.0
00000086-2.tif,0.0
00000087-2.tif,0.0
00000088-2.tif,0.0
